that~rel	33	0	32	1	30	1	0	3	1	0	1	1	0	3	0	2	0	2	0	10	3	9	0	0	0	0	0	0	51	0	4	5	1	55	0	10	1	5	1	4	0	0	0	1	1	29	24	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	150	0	0	2	0	16	0	5	0	18	0	0	1	2	0	1	3	0	1	0	0	3	26	0	0	3	8	0	rel
off~prep	2	0	7	0	2	0	0	4	0	0	1	1	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	1	0	28	0	6	0	1	0	0	0	0	0	0	0	4	3	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	prep
dirty~adj	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	adj
road~n	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	1	n
come~v	924	1	3	0	0	0	132	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	888	0	0	0	0	0	1	0	0	0	1	13	0	0	0	0	2	0	0	0	0	5	3	0	4	0	1	3	0	0	0	0	1	5	0	0	0	5	0	4	1	0	17	0	0	0	5	1	0	0	1	0	0	0	46	1	23	0	0	0	1	29	0	v
yes~co	564	0	369	20	8	3	5	0	0	1	0	0	0	0	0	1	0	13	0	0	0	35	10	0	0	0	0	0	0	0	2	10	18	7	0	7	6	2	0	21	31	0	2	0	1	33	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	2	0	0	1	1	0	0	32	0	2	0	0	0	1	0	0	5	0	0	0	0	4	0	0	0	1	0	0	co
dolly~n	3	0	45	0	0	0	2	0	1	0	1	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	2	0	0	1	24	0	0	0	0	4	0	1	1	0	0	0	0	1	n
toy~n	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	n
car~n	0	0	92	0	0	0	4	4	2	0	1	1	3	1	4	0	2	0	3	5	13	0	0	0	0	1	0	2	0	0	0	0	0	0	4	1	0	1	4	0	0	0	0	2	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	111	0	0	0	6	0	0	0	0	0	0	0	0	8	n
bring~v	12	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	1	0	0	1	0	0	0	6	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	1	0	0	0	0	7	0	v
